time,symbol,event,score,state,bias,allow_trend,allow_mean_reversion,flip_count,sma_100,sma_200,sma_spread_pct,dir_5m_1,dir_5m_2,dir_5m_3,dir_5m_4,dir_5m_5,dir_5m_6,dir_15m,dir_30m,vwap_dist_5m,vwap_dist_15m,vwap_dist_30m,vwap_dist_1h,sizing_mult,risk_mult,reason,quote_time,bid_price,bid_size,ask_price,ask_size,mid,spread,spread_pct_mid
2026-01-29T10:46:00-05:00,SQQQ,1h_close,1.0,ACTIVE,BOTH,1,1,0,nan,nan,nan,1,1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-29T11:01:00.151977-05:00,66.79,1800.0,66.8,1300.0,66.795,0.009999999999990905,0.01497118047756704
2026-01-29T10:46:00-05:00,SQQQ,30m_close,1.2,CONFIRMED,BOTH,1,1,0,nan,nan,nan,1,1,0,0,0,0,0,1,nan,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.151977-05:00,66.79,1800.0,66.8,1300.0,66.795,0.009999999999990905,0.01497118047756704
2026-01-29T10:46:00-05:00,SQQQ,15m_close,1.2,CONFIRMED,BOTH,1,1,0,nan,nan,nan,1,1,0,0,0,0,1,1,nan,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.151977-05:00,66.79,1800.0,66.8,1300.0,66.795,0.009999999999990905,0.01497118047756704
2026-01-29T10:55:00-05:00,SQQQ,5m_close,1.2,CONFIRMED,BOTH,1,1,1,nan,nan,nan,1,1,-1,0,0,0,1,1,0.0845758150144951,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.151977-05:00,66.79,1800.0,66.8,1300.0,66.795,0.009999999999990905,0.01497118047756704
2026-01-29T10:46:00-05:00,TQQQ,1h_close,1.0,ACTIVE,BOTH,1,1,0,nan,nan,nan,-1,-1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-29T11:01:00.138577-05:00,53.42,1600.0,53.43,700.0,53.425,0.00999999999999801,0.01871782873186338
2026-01-29T10:46:00-05:00,TQQQ,30m_close,1.2,CONFIRMED,BOTH,1,1,0,nan,nan,nan,-1,-1,0,0,0,0,0,-1,nan,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.138577-05:00,53.42,1600.0,53.43,700.0,53.425,0.00999999999999801,0.01871782873186338
2026-01-29T10:46:00-05:00,TQQQ,15m_close,1.2,CONFIRMED,BOTH,1,1,0,nan,nan,nan,-1,-1,0,0,0,0,-1,-1,nan,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.138577-05:00,53.42,1600.0,53.43,700.0,53.425,0.00999999999999801,0.01871782873186338
2026-01-29T10:55:00-05:00,TQQQ,5m_close,1.2,CONFIRMED,BOTH,1,1,1,nan,nan,nan,-1,-1,1,0,0,0,-1,-1,-0.03338792503082732,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.138577-05:00,53.42,1600.0,53.43,700.0,53.425,0.00999999999999801,0.01871782873186338
2026-01-29T10:46:00-05:00,VOO,1h_close,1.0,ACTIVE,BOTH,1,1,0,nan,nan,nan,0,-1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.75,5m#1 ok (no extreme VWAP dislocation),2026-01-29T11:01:00.147732-05:00,630.81,40.0,639.0,40.0,634.905,8.190000000000055,1.2899567651853512
2026-01-29T10:46:00-05:00,VOO,30m_close,1.2,CONFIRMED,BOTH,1,1,0,nan,nan,nan,0,-1,0,0,0,0,0,0,nan,nan,nan,nan,1.0,1.0,30m confirm (aligns + not too choppy),2026-01-29T11:01:00.147732-05:00,630.81,40.0,639.0,40.0,634.905,8.190000000000055,1.2899567651853512
